episode 186	loss 4.0605865	 episode reward -21.0	 number of down act 0.5403481012658228	 game_len 1264	
episode 187	loss 7.422487	 episode reward -20.0	 number of down act 0.547683923705722	 game_len 1468	
episode 188	loss 7.680948	 episode reward -20.0	 number of down act 0.5187739463601533	 game_len 1305	
episode 189	loss 11.041159	 episode reward -20.0	 number of down act 0.5215208034433285	 game_len 1394	
episode 190	loss 13.588808	 episode reward -21.0	 number of down act 0.5376495425756509	 game_len 1421	
episode 191	loss 8.747968	 episode reward -20.0	 number of down act 0.5720524017467249	 game_len 1145	
episode 192	loss 5.1466494	 episode reward -20.0	 number of down act 0.5522267206477732	 game_len 1235	
episode 193	loss 11.081283	 episode reward -21.0	 number of down act 0.5572519083969466	 game_len 1179	
episode 194	loss 4.337138	 episode reward -20.0	 number of down act 0.5550992470910335	 game_len 1461	
episode 195	loss 14.328905	 episode reward -21.0	 number of down act 0.5439831104855736	 game_len 1421	
episode 196	loss 1.8708949	 episode reward -20.0	 number of down act 0.5722007722007721	 game_len 1295	
episode 197	loss 13.605412	 episode reward -21.0	 number of down act 0.544	 game_len 1625	
episode 198	loss 5.6279345	 episode reward -21.0	 number of down act 0.5424013434089001	 game_len 1191	
episode 199	loss 5.937928	 episode reward -20.0	 number of down act 0.5364806866952789	 game_len 1398	
episode 200	loss 14.881754	 episode reward -21.0	 number of down act 0.5212765957446809	 game_len 1504	
episode 201	loss 1.0238585	 episode reward -19.0	 number of down act 0.5567885117493473	 game_len 1532	
episode 202	loss 10.051733	 episode reward -21.0	 number of down act 0.4992503748125937	 game_len 1334	
episode 203	loss 8.150505	 episode reward -21.0	 number of down act 0.5255704169944925	 game_len 1271	
episode 204	loss 10.706345	 episode reward -20.0	 number of down act 0.5075862068965518	 game_len 1450	
episode 205	loss 12.288744	 episode reward -21.0	 number of down act 0.5260011954572624	 game_len 1673	
episode 206	loss 9.435913	 episode reward -21.0	 number of down act 0.5470494417862839	 game_len 1254	
episode 207	loss 7.980658	 episode reward -21.0	 number of down act 0.5492321589882565	 game_len 1107	
episode 208	loss 15.9946785	 episode reward -21.0	 number of down act 0.5349019607843137	 game_len 1275	
episode 209	loss 11.303283	 episode reward -21.0	 number of down act 0.5857461024498887	 game_len 1347	
episode 210	loss 5.172632	 episode reward -21.0	 number of down act 0.5886019590382903	 game_len 1123	
episode 211	loss 3.1631725	 episode reward -21.0	 number of down act 0.5689810640216412	 game_len 1109	
episode 212	loss 12.97514	 episode reward -21.0	 number of down act 0.5646004480955937	 game_len 1339	
episode 213	loss 4.468246	 episode reward -21.0	 number of down act 0.5436893203883495	 game_len 1339	
episode 214	loss 10.778728	 episode reward -21.0	 number of down act 0.5721784776902887	 game_len 1905	
episode 215	loss 12.18569	 episode reward -20.0	 number of down act 0.5506512301013025	 game_len 1382	
episode 216	loss 13.601513	 episode reward -20.0	 number of down act 0.5442073170731707	 game_len 1312	
episode 217	loss 4.7832427	 episode reward -21.0	 number of down act 0.5245346869712352	 game_len 1182	
episode 218	loss 4.019055	 episode reward -21.0	 number of down act 0.582036775106082	 game_len 1414	
episode 219	loss 17.150257	 episode reward -21.0	 number of down act 0.5472118959107807	 game_len 1345	
episode 220	loss -1.7623901	 episode reward -20.0	 number of down act 0.5625	 game_len 1216	
episode 221	loss 9.963267	 episode reward -20.0	 number of down act 0.5307692307692308	 game_len 1560	
episode 222	loss 13.041162	 episode reward -21.0	 number of down act 0.5560578661844484	 game_len 1106	
episode 223	loss 4.476928	 episode reward -20.0	 number of down act 0.5692425401683244	 game_len 1307	
episode 224	loss 4.5587006	 episode reward -21.0	 number of down act 0.604	 game_len 1250	
episode 225	loss 19.485247	 episode reward -21.0	 number of down act 0.5605775266792216	 game_len 1593	
episode 226	loss -0.39186764	 episode reward -21.0	 number of down act 0.5896785109983079	 game_len 1182	
episode 227	loss 6.1727405	 episode reward -21.0	 number of down act 0.5387387387387388	 game_len 1110	
episode 228	loss 21.756668	 episode reward -20.0	 number of down act 0.5580327868852459	 game_len 1525	
